what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1453579391264
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1453579391265
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1453579391292
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1453579391301
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1453579391302
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1453579391315
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1453579391345
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1453579391347
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1453579391348
started,bundle,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.adt",1453579391348
started,bundle,com.android.ide.eclipse.base,21.0.1.v201212060256-543035,"com.android.ide.eclipse.base",1453579391349
os,sysinfo,,,"win32",1453579391359
arch,sysinfo,,,"x86",1453579391359
ws,sysinfo,,,"win32",1453579391359
locale,sysinfo,,,"es_AR",1453579391359
processors,sysinfo,,,"2",1453579391359
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1453579391360
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1453579391360
java.specification.name,sysinfo,,,"Java Platform API Specification",1453579391360
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1453579391360
java.specification.version,sysinfo,,,"1.6",1453579391360
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1453579391360
java.version,sysinfo,,,"1.6.0_13",1453579391360
java.vm.info,sysinfo,,,"mixed mode",1453579391360
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1453579391360
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1453579391360
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1453579391360
java.vm.specification.version,sysinfo,,,"1.0",1453579391360
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1453579391360
java.vm.version,sysinfo,,,"11.3-b02",1453579391360
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1453579391415
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1453579391708
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1453579391950
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1453579392640
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1453579394512
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1453579410966
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1453579411165
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1453579411249
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1453579411661
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1453579418227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1453579419116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453579421289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453579723951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453579726515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453579728152
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453579728355
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1453579728880
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1453579729204
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1453579729207
